 ,problem,size,size_cat,solver,budget,dist_type,name_type,rep,fx,norm_fx,pheno
66,OneMax,8,small,random_search,20,fine,str,6,6.0,0.49685534591194963,"[0, 1, 1, 0, 1, 1, 1, 1]"
67,OneMax,8,small,random_search,20,fine,str,7,6.0,0.49685534591194963,"[1, 0, 0, 1, 1, 1, 1, 1]"
68,OneMax,8,small,random_search,20,fine,str,8,6.0,0.49685534591194963,"[1, 0, 1, 1, 0, 1, 1, 1]"
69,OneMax,8,small,random_search,20,fine,str,9,7.0,0.7484276729559748,"[1, 1, 1, 1, 0, 1, 1, 1]"
70,OneMax,8,small,random_search,20,fine,str,10,6.0,0.49685534591194963,"[1, 1, 1, 0, 1, 0, 1, 1]"
71,OneMax,8,small,random_search,20,fine,str,11,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
72,OneMax,8,small,random_search,20,fine,str,12,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
73,OneMax,8,small,random_search,20,fine,str,13,7.0,0.7484276729559748,"[1, 1, 1, 1, 0, 1, 1, 1]"
74,OneMax,8,small,random_search,20,fine,str,14,6.0,0.49685534591194963,"[1, 1, 1, 0, 1, 0, 1, 1]"
75,OneMax,8,small,random_search,20,fine,str,15,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
76,OneMax,8,small,random_search,20,fine,str,16,7.0,0.7484276729559748,"[1, 1, 0, 1, 1, 1, 1, 1]"
77,OneMax,8,small,random_search,20,fine,str,17,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
78,OneMax,8,small,random_search,20,fine,str,18,7.0,0.7484276729559748,"[0, 1, 1, 1, 1, 1, 1, 1]"
79,OneMax,8,small,random_search,20,fine,str,19,6.0,0.49685534591194963,"[1, 1, 1, 1, 1, 1, 0, 0]"
80,OneMax,8,small,hill_climber,20,coarse,lin,0,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
81,OneMax,8,small,hill_climber,20,coarse,lin,1,4.0,-0.006289308176100719,"[0, 0, 1, 0, 1, 1, 1, 0]"
82,OneMax,8,small,hill_climber,20,coarse,lin,2,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
83,OneMax,8,small,hill_climber,20,coarse,lin,3,6.0,0.49685534591194963,"[0, 1, 1, 0, 1, 1, 1, 1]"
84,OneMax,8,small,hill_climber,20,coarse,lin,4,7.0,0.7484276729559748,"[1, 1, 1, 0, 1, 1, 1, 1]"
85,OneMax,8,small,hill_climber,20,coarse,lin,5,6.0,0.49685534591194963,"[0, 1, 1, 1, 0, 1, 1, 1]"
86,OneMax,8,small,hill_climber,20,coarse,lin,6,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
87,OneMax,8,small,hill_climber,20,coarse,lin,7,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
88,OneMax,8,small,hill_climber,20,coarse,lin,8,5.0,0.24528301886792447,"[0, 1, 0, 1, 1, 1, 1, 0]"
89,OneMax,8,small,hill_climber,20,coarse,lin,9,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
90,OneMax,8,small,hill_climber,20,coarse,lin,10,6.0,0.49685534591194963,"[1, 0, 1, 1, 1, 1, 0, 1]"
91,OneMax,8,small,hill_climber,20,coarse,lin,11,5.0,0.24528301886792447,"[0, 0, 1, 1, 0, 1, 1, 1]"
92,OneMax,8,small,hill_climber,20,coarse,lin,12,7.0,0.7484276729559748,"[1, 1, 0, 1, 1, 1, 1, 1]"
93,OneMax,8,small,hill_climber,20,coarse,lin,13,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
94,OneMax,8,small,hill_climber,20,coarse,lin,14,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
95,OneMax,8,small,hill_climber,20,coarse,lin,15,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
96,OneMax,8,small,hill_climber,20,coarse,lin,16,6.0,0.49685534591194963,"[1, 0, 1, 1, 1, 1, 0, 1]"
97,OneMax,8,small,hill_climber,20,coarse,lin,17,6.0,0.49685534591194963,"[1, 0, 1, 1, 1, 1, 1, 0]"
98,OneMax,8,small,hill_climber,20,coarse,lin,18,6.0,0.49685534591194963,"[1, 1, 0, 1, 0, 1, 1, 1]"
99,OneMax,8,small,hill_climber,20,coarse,lin,19,5.0,0.24528301886792447,"[1, 1, 0, 1, 1, 0, 0, 1]"
100,OneMax,8,small,hill_climber,20,coarse,str,0,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
