Problem,Max depth,Macros,Generator,Solver,Metric,Dist type,Name type,rep,Elapsed,Iterations,Fitness,Test Fitness
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,5,8.47559404373169,1600,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,5,4.955410957336426,800,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,5,163.13975715637207,30000,0.0241034685479129,0.7272727272727273
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,5,0.5912272930145264,100,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,5,0.839759111404419,246,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,5,0.2874958515167236,96,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,5,2.4543848037719727,765,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,5,102.25161218643188,30000,0.0241034685479129,0.7272727272727273
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,5,72.54077315330505,19910,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,5,1.2946312427520752,300,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,5,0.6446137428283691,100,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,5,1.6221458911895752,400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,5,69.12058115005493,17500,0.0,0.0
